run_id,mode,host,target_id,media,device,mount,workload,rw,block_size,jobs,repetition,session,attempt,completion_reason,io_bytes,gib,fio_runtime_ms,seconds,bw_bytes_s,bw_mib_s,iops,total_ios,clat_mean_ns,clat_p50_ns,clat_p95_ns,clat_p99_ns,clat_p99_9_ns,command_wall_seconds,preparation_generation,artifact
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_128k,randread,128k,1,1,1,1,byte_limit,10737418240,10.0,1905,1.905,5636440020,5375.32808303833,43002.624672,81920,734953.985937,452608,2441216,3293184,4079616,2.2161051742732525,1,raw/104__rand_read_128k__r1/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_4k,randread,4k,1,1,1,1,byte_limit,10737418240,10.0,6308,6.308,1702190589,1623.335446357727,415573.874445,2621440,74979.640257,72192,94720,112128,160768,6.618249028921127,1,raw/104__rand_read_4k__r1/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_write_4k,randwrite,4k,1,1,1,1,byte_limit,10737418240,10.0,8758,8.758,1226012587,1169.216715812683,299319.479333,2621440,104108.726641,107008,119296,130560,220160,9.067238938063383,1,raw/104__rand_write_4k__r1/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_read,read,1m,1,1,1,1,byte_limit,10737418240,10.0,4628,4.628,2320099014,2212.6188411712646,2212.618842,10240,14278874.188281,14221312,14483456,14483456,23199744,4.97014501132071,1,raw/104__seq_read__r1/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_write,write,1m,1,1,1,1,byte_limit,10737418240,10.0,2185,2.185,4914150224,4686.49885559082,4686.498856,10240,6746211.571191,6586368,6651904,10944512,12386304,2.517428508028388,1,raw/104__seq_write__r1/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_4k,randread,4k,1,2,1,1,byte_limit,10737418240,10.0,6310,6.31,1701651068,1622.8209190368652,415442.155309,2621440,75004.577439,72192,94720,111104,138240,6.618613930419087,1,raw/104__rand_read_4k__r2/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_write_4k,randwrite,4k,1,2,1,1,byte_limit,10737418240,10.0,8742,8.742,1228256490,1171.35666847229,299867.307252,2621440,103905.378859,107008,119296,130560,216064,9.034964516758919,1,raw/104__rand_write_4k__r2/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_read,read,1m,1,2,1,1,byte_limit,10737418240,10.0,4629,4.629,2319597805,2212.140851020813,2212.140851,10240,14282268.978417998,14221312,14483456,14614528,23199744,4.970658311620355,1,raw/104__seq_read__r2/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_write,write,1m,1,2,1,1,byte_limit,10737418240,10.0,2188,2.188,4907412358,4680.073125839233,4680.073126,10240,6751933.789647999,6586368,6651904,10813440,11468800,2.5668035820126534,1,raw/104__seq_write__r2/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_128k,randread,128k,1,2,1,1,byte_limit,10737418240,10.0,1906,1.906,5633482812,5372.507869720459,42980.062959,81920,734627.2698,448512,2375680,3391488,4145152,2.216220434755087,1,raw/104__rand_read_128k__r2/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_write_4k,randwrite,4k,1,3,1,1,byte_limit,10737418240,10.0,8740,8.74,1228537556,1171.624713897705,299935.926773,2621440,103877.673511,107008,119296,132096,222208,9.067124938592315,1,raw/104__rand_write_4k__r3/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_read,read,1m,1,3,1,1,byte_limit,10737418240,10.0,4622,4.622,2323110826,2215.491128921509,2215.491129,10240,14257690.251073997,14221312,14352384,14483456,23199744,4.920020464807749,1,raw/104__seq_read__r3/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_write,write,1m,1,3,1,1,byte_limit,10737418240,10.0,2197,2.197,4887309167,4660.901228904724,4660.901229,10240,6779115.370508,6586368,7176192,10813440,12255232,2.516935972496867,1,raw/104__seq_write__r3/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_128k,randread,128k,1,3,1,1,byte_limit,10737418240,10.0,1895,1.895,5666183767,5403.6939306259155,43229.551451,81920,729932.71886,436224,2441216,3391488,4227072,2.216501533985138,1,raw/104__rand_read_128k__r3/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_4k,randread,4k,1,3,1,1,byte_limit,10737418240,10.0,6298,6.298,1704893337,1625.9129877090454,416233.724992,2621440,74856.610381,72192,94720,112128,168960,6.618344683200121,1,raw/104__rand_read_4k__r3/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_read,read,1m,1,4,1,1,byte_limit,10737418240,10.0,1566,1.566,6856588914,6538.952745437622,6538.952746,10240,4810384.762305,4816896,4947968,5406720,7962624,1.8670490700751543,1,raw/104__seq_read__r4/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_write,write,1m,1,4,1,1,byte_limit,10737418240,10.0,2087,2.087,5144905721,4906.56444644928,4906.564447,10240,6436927.438574,6258688,6389760,10551296,11862016,2.4173043072223663,1,raw/104__seq_write__r4/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_128k,randread,128k,1,4,1,1,byte_limit,10737418240,10.0,1897,1.897,5660209931,5397.9968366622925,43183.974697,81920,731691.999231,440320,2473984,3391488,4046848,2.2165534645318985,1,raw/104__rand_read_128k__r4/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_4k,randread,4k,1,4,1,1,byte_limit,10737418240,10.0,6309,6.309,1701920786,1623.0781421661377,415508.004438,2621440,74987.535461,72192,94720,111104,138240,6.618128187954426,1,raw/104__rand_read_4k__r4/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_write_4k,randwrite,4k,1,4,1,1,byte_limit,10737418240,10.0,8773,8.773,1223916361,1167.2175989151,298807.70546,2621440,104280.693519,107008,120320,134144,220160,9.117204928770661,1,raw/104__rand_write_4k__r4/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,seq_write,write,1m,1,5,1,1,byte_limit,10737418240,10.0,2193,2.193,4896223547,4669.40264415741,4669.402645,10240,6766355.759766,6586368,6717440,10813440,12255232,2.516866944730282,1,raw/104__seq_write__r5/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_128k,randread,128k,1,5,1,1,byte_limit,10737418240,10.0,1913,1.913,5612868917,5352.848927497864,42822.791427,81920,737336.636047,407552,2572288,3391488,4145152,2.216096695512533,1,raw/104__rand_read_128k__r5/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_read_4k,randread,4k,1,5,1,1,byte_limit,10737418240,10.0,6293,6.293,1706247932,1627.2048301696777,416564.436676,2621440,74801.203657,72192,94720,111104,138240,6.6183912586420774,1,raw/104__rand_read_4k__r5/attempt-1
a711ca58c8ef48d0b95e7903975f6576,full,colva1,104,nvme,/dev/nvme1n1p1,/mnt/nvme0,rand_write_4k,randwrite,4k,1,5,1,1,byte_limit,10737418240,10.0,8748,8.748,1227414064,1170.5532684326172,299661.636946,2621440,103983.131046,107008,119296,132096,152576,9.067860459908843,1,raw/104__rand_write_4k__r5/attempt-1
